"POINT(967046.643152091 5946365.47665327)","Adlerspitzli",1455,5359585026
"POINT(956436.904936024 6002769.38614834)","Adlisberg",701,538494194
"POINT(921056.431552281 6036511.17682968)","Aemmeribuck",515,1652951016
"POINT(760641.783658094 5836786.49849618)","Alamont",1900,595503991
"POINT(817821.329534735 5842528.26540692)","Almenegg",1830,4664633464
"POINT(1104965.93740237 5923260.66345686)","Älpeltispitz",2686,1146774854
"POINT(1044009.18761972 5986382.8357378)","Altenalp Türm",2033,567918319
"POINT(1048048.98307256 5960023.82202129)","Alvier",2343,812886732
"POINT(849988.888643253 6004418.35984383)","Ämmenegg",950,4790331477
"POINT(973248.363303675 5956651.94000551)","Amselspitz",1491,836283292
"POINT(851186.575044698 5987683.04904045)","Ankehubel",1085,3561605551
"POINT(1049816.09093331 5952563.3716428)","Annegrethli",1450,2643613777
"POINT(894462.817458967 6014379.38230601)","Asperstrihen",838,5219693199
"POINT(989155.272884987 5990226.25274076)","Bachtel",1115,497506419
"POINT(839322.010132562 5983502.04918528)","Balmfluechöpfli",1290,1476807678
"POINT(1004170.36862971 5769704.86737841)","Baraghetto",1694,1372930301
"POINT(888874.389778011 6014498.233028)","Barm",843,6315413247
"POINT(851448.376223145 5918203.65004594)","Barschwandhubel",1097,4626529459
"POINT(1005739.2276093 5789399.1895554)","Bassa d'Ogè",1439,4254049189
"POINT(869457.198165718 6001510.72438933)","Belchenflue",1099,31241113
"POINT(837774.580154943 5919289.44264348)","Belpberg",892,378684612
"POINT(869300.22655175 6006995.99459091)","Bergfluh",735,298075004
"POINT(869234.703899469 5999236.32365762)","Bergli",927,6330336413
"POINT(955272.848152748 6057975.47563978)","Beringer Randenturm",650,3287957274
"POINT(779434.973864745 5838191.88156084)","Berneuse",2048,333788468
"POINT(825167.21367659 5979367.41937449)","Bettlachstock",1298,5219449501
"POINT(861152.285478729 6000657.55289832)","Bilsteinberg",1123,889411499
"POINT(850986.533919742 5951845.53742073)","Binzberg",699,4623707217
"POINT(886162.914149065 5886395.40652031)","Bira",2400,2357104974
"POINT(867140.828805444 6004643.80466991)","Birchhöhe",893,6317515319
"POINT(868568.200712243 5894311.38023981)","Bire",1500,300548031
"POINT(827288.161670776 5895149.3017269)","Birehubel",1850,459849371
"POINT(871320.942476426 6019895.15909292)","Bischofstein",0,2960272790
"POINT(828228.867027725 5822868.60500205)","Bisse du Sillonin",800,459849503
"POINT(856883.049423418 5931021.71946632)","Blasenfluh",1118,1460188791
"POINT(895526.675568581 5918758.6492052)","Bleikechopf",1680,4648076690
"POINT(888955.152068581 5837042.88427509)","Blindbergji",0,3677438829
"POINT(919850.095626402 6037274.51810027)","Blitzberg",490,1650281607
"POINT(910184.780838276 5972588.7628908)","Bloseberg",805,1218329514
"POINT(858856.365508914 5901108.10547754)","Blueme",1392,418403095
"POINT(871734.694759807 6020396.68382969)","Böckterflue",740,4011580757
"POINT(877394.222199533 5995013.28176454)","Born",719,1760434963
"POINT(1049922.38991507 5952691.15223752)","Breiter Turm",1509,2643616619
"POINT(905981.568372954 5837654.3888983)","Breithorn",2599,462691373
"POINT(1027785.69653854 5952218.7704981)","Breitmantel",2166,5813432117
"POINT(914134.908441279 6023351.54461855)","Bruggerberg",0,918723695
"POINT(968795.182921777 6024237.8833019)","Brühlberg",546,2096834915
"POINT(1118790.87194322 5838966.36220675)","Brüsigon",1876,7085552213
"POINT(875984.783862701 5868457.51982159)","Bryndli",2132,6740170352
"POINT(978039.264756741 6057971.43934942)","Bucher Säntis",0,4994507055
"POINT(971033.250152227 6058273.91822816)","Buck",481,1711069526
"POINT(991738.129974271 5974984.48142709)","Buechberg",630,3444733778
"POINT(897326.177401152 5993048.21138809)","Buechlisberg",564,6094588065
"POINT(853391.491330789 6017329.22557821)","Bürenflue",727,4838603024
