27256978,"Albisriederplatz","POINT(947372.73766208 6004001.27031708)","Zürich, Albisriederplatz","pt"
27329497,"Kantonalbank","POINT(924621.649751968 5950021.63159258)","Luzern, Kantonalbank","pt"
27329561,"Schwanenplatz","POINT(924934.390729403 5950740.29588563)","Luzern, Schwanenplatz","pt"
27373188,"Talstation Braunwaldbahn","POINT(1002129.51676443 5930415.02385581)",NULL,"po"
27403916,"Bahnhof/Gare","POINT(806287.494829746 5963900.77883701)",NULL,"pt"
27421851,"Austrasse","POINT(954583.836164483 6011751.6196929)","Opfikon, Austrasse","pt"
27421912,"Neuwiesen","POINT(954481.277517615 6012273.02761172)","Opfikon, Neuwiesen","pt"
27443731,"Weiningen Dorfplatz","POINT(989288.344204282 6038831.06337818)","Weiningen TG, Dorfplatz","pt"
27452342,"Botanischer Garten","POINT(952610.286308056 6000903.16223547)","Zürich, Botanischer Garten","pt"
27488725,"Uetlihof","POINT(947772.007279708 6000499.74936578)","Zürich, Uetlihof","pt"
27505197,"Piotta Centrale","POINT(965702.593884151 5863685.72297361)","Piotta Centrale FPR","pt"
27505212,"Gusch","POINT(970542.932323079 5987455.07474245)","Oetwil am See, Gusch","pt"
27513203,"Dorflinde","POINT(951724.784286592 6008815.20562458)","Zürich, Dorflinde","pt"
27528737,"Waldenburg","POINT(862590.243869102 6005350.93685399)","Waldenburg","pt"
27547040,"Bus-Bahnhof Bärplatz","POINT(894389.547256774 5880933.54773438)","Grindelwald, Bahnhof","po"
27552396,"Titlisstrasse","POINT(953469.561457489 6002858.03072545)","Zürich, Titlisstrasse","pt"
27580759,"Waldburg","POINT(956579.171245258 5998650.16360982)","Waldburg","pt"
27580765,"Spital Zollikerberg","POINT(957020.263595577 5998952.75965937)","Spital Zollikerberg","pt"
27595784,"Beugi","POINT(954600.845782676 5997157.95662973)","Zollikon, Beugi","pt"
27612625,"Geeren","POINT(966590.377955177 6008972.73296481)","Kindhausen ZH, Geeren","pt"
27822831,"Bahnhof Frauenfeld","POINT(990395.102031592 6033636.42532166)",NULL,"po"
28095383,"Warth Kreuz","POINT(987740.268573616 6037835.45800892)","Warth, Kreuz","pt"
28197903,"Pilatusplatz","POINT(924403.085063745 5949792.55112032)","Luzern, Pilatusplatz","pt"
28499813,NULL,"POINT(997410.647358207 5784023.67175098)",NULL,"po"
28741228,"Zofingen, Bahnhof","POINT(884375.487735806 5989032.31019885)",NULL,"po"
29016425,"Breitestieg","POINT(960730.352980583 6058128.52522397)","Schaffhausen, Breitestieg","pt"
29016984,"Schützenhaus","POINT(960302.630101107 6057136.6295395)","Schaffhausen, Schützenhaus","pt"
29038459,"Zwielplatz","POINT(945819.485675092 6007967.61394104)","Zürich, Zwielplatz","pt"
29038472,"Zentrum Oberenstringen","POINT(941978.40664527 6009149.24528357)","Oberengstringen, Zentrum","pt"
29038473,"Paradies","POINT(941605.887101279 6009346.66831681)","Oberengstringen, Paradies","pt"
29055395,"Illnau","POINT(970998.930353215 6009057.805828)",NULL,"pt"
29138919,"Bubikon","POINT(982248.065460501 5986302.74265152)",NULL,"pt"
29138933,"Aathal","POINT(975843.53232864 5997034.9905771)",NULL,"pt"
29138942,"Uster","POINT(970450.459222077 5999565.8702229)","Uster","pt"
29138943,"Nänikon-Greifensee","POINT(966878.995998956 6002637.80987787)","Nänikon-Greifensee","pt"
29383709,"Rupperswil","POINT(904667.786874561 6008154.36876884)","Rupperswil","pt"
29383768,"Kerzers","POINT(800582.215079303 5938102.46105924)","Kerzers BLS","pt"
29542844,"Zürich Hardbrücke","POINT(948154.334070837 6005160.34581582)","Zürich Hardbrücke","pt"
29542965,"Central Polybahn","POINT(951132.876290146 6003749.457978)","Zürich Central (Polybahn)","pt"
29542967,"Polyterrasse ETH","POINT(951371.74565349 6003801.60183098)","Zürich Polyterrasse","pt"
29687378,"Wallisellen Bahnhof","POINT(956543.270709477 6009701.76804378)","Wallisellen, Bahnhof","pt"
29791281,"Schlatt","POINT(967073.003607511 6053721.51303615)","Schlatt","pt"
29791292,"St. Katharinental","POINT(972042.261148726 6055037.02691742)","St. Katharinental","pt"
29791399,"Schaffhausen","POINT(960961.340923978 6056827.82265821)",NULL,"pt"
29791400,"Feuerthalen","POINT(962486.12851717 6055801.66090048)","Feuerthalen","pt"
29792055,"Langwiesen","POINT(964252.913551398 6054348.15862577)","Langwiesen","pt"
29792173,"Diessenhofen","POINT(974298.039310161 6054668.73291831)","Diessenhofen","pt"
29798734,"Saalsporthalle","POINT(948502.875396511 6000672.6711632)","Zürich, Saalsporthalle","pt"
29861500,"Bruggerstrasse","POINT(911304.888686587 6021731.71037838)","Riniken, Bruggerstrasse","pt"
29862045,"Veltheim Unterdorf","POINT(907368.943186711 6013920.30564593)","Veltheim AG, Unterdorf","pt"
29862163,"Vorerli","POINT(907408.016327979 6013144.57357361)","Veltheim AG, Vorerli","pt"
29863555,"Neuhausen","POINT(960132.689766462 6054310.39226298)","Neuhausen","pt"
29863567,"Schloss Laufen am Rheinfall","POINT(958922.235019424 6053202.34389355)",NULL,"pt"
29863575,"Dachsen","POINT(958900.14923245 6051592.90483993)","Dachsen","pt"
29863648,"Rohr Unterdorf","POINT(900361.158602293 6008335.89733259)","Rohr AG, Unterdorf","pt"
29863667,"Rigistrasse","POINT(899446.179179667 6007914.2608572)","Rohr AG, Rigistrasse","pt"
29863680,"Quellhölzli","POINT(898806.437198027 6007614.85484004)","Rohr AG, Quellhölzli","pt"
29863685,"Salamatt","POINT(898536.954974714 6007426.49995952)","Rohr AG, Salamatt","pt"
29863887,"Marthalen","POINT(963589.260143135 6045702.12413789)",NULL,"pt"
29863913,"Andelfingen","POINT(965971.808940685 6039525.0660242)",NULL,"pt"
29863930,"Henggart","POINT(966798.712382196 6034766.54390858)","Henggart","pt"
29867041,"Obere Vorstadt","POINT(895850.11434908 6005863.2285882)","Aarau, Obere Vorstadt","pt"
29970251,"Schmiede Wiedikon","POINT(948396.186796535 6002676.99490689)","Zürich, Schmiede Wiedikon","pt"
29971732,"Katholische Kirche","POINT(942049.495272091 6001824.71118547)","Waldegg, Katholische Kirche","pt"
29971747,"Langwis","POINT(942335.174481314 6000903.16223547)","Ringlikon, Langwis","pt"
29971801,"Diebis","POINT(943576.453595353 5999215.03015863)","Stallikon, Diebis","pt"
29971806,"Loomatt","POINT(944597.787659483 5997503.09548239)","Stallikon, Loomatt","pt"
29971832,"Tägerst","POINT(944821.484176232 5990926.85925504)","Stallikon, Tägerst","pt"
29985967,"Frick Unterdorf","POINT(892721.602511775 6025436.12464749)","Frick, Unterdorf","pt"
29986695,"Ziegelbrücke","POINT(1008556.05600434 5964418.81333962)","Ziegelbrücke","pt"
30000199,"Gläseren","POINT(940498.714577799 6003265.20254376)","Uitikon, Gläseren","pt"
30000200,"Roracher","POINT(940778.582909602 6003046.07265869)","Uitikon, Roracher","pt"
30000210,"Uitikon Dorf","POINT(941075.271616464 6002781.45083075)","Uitikon, Dorf","pt"
30000518,"Zürich Altstetten","POINT(945008.968462626 6006243.37694774)","Zürich Altstetten","pt"
30035754,"Mühlehorn, Beerenboden","POINT(1020785.81563797 5960476.85162766)",NULL,"pt"
30035759,"Obstalden, Stocken","POINT(1020319.57621468 5961160.22720181)",NULL,"pt"
30035815,"Filzbach, Garage","POINT(1015509.07139928 5961858.60914124)",NULL,"pt"
30035841,"Mollis, Chapellenstutz","POINT(1010667.0186402 5959452.38767478)",NULL,"pt"
30035848,"Mollis, Beglingen","POINT(1010370.27427359 5958829.11591457)",NULL,"pt"
30035871,"Mollis, Haltli","POINT(1010385.79221061 5958089.47403302)",NULL,"pt"
30035879,"Mollis, Kirchplatz","POINT(1010339.59462193 5957454.24885058)",NULL,"pt"
30035883,"Mollis, Post","POINT(1010015.91093855 5957655.27502213)",NULL,"pt"
30035945,"Nieder- und Oberurnen","POINT(1008838.87430265 5962089.36510956)","Nieder- und Oberurnen","pt"
30044889,"Näfels-Mollis","POINT(1009678.44590221 5958200.0998835)","Näfels-Mollis","pt"
30053055,"Mollis, Winden","POINT(1011482.14447958 5960498.26304099)",NULL,"pt"
30057887,"Rebberg","POINT(892904.656282436 6007048.47043575)","Erlinsbach, Rebberg","pt"
30057932,"Sagi","POINT(891047.836044055 6008946.0697355)","Erlinsbach, Sagi","pt"
30057938,"Erlinsbach Oberdorf","POINT(890524.255951058 6009350.15558296)","Erlinsbach, Oberdorf","pt"
30057954,"Breitmis","POINT(889469.960185704 6009569.54363457)","Erlinsbach, Breitmis","pt"
30058048,"Hard","POINT(891023.401415826 6011694.72217995)","Hard, Abzw.","pt"
30110183,"Tellizentrum","POINT(897114.36980602 6007239.51413849)","Aarau, Tellizentrum","pt"
30110191,"Delfterstrasse","POINT(897486.599919334 6007410.33383165)","Aarau, Delfterstrasse","pt"
30123222,"Untere Mühle","POINT(957133.15269119 5984488.67298226)","Horgen, untere Mühle","pt"
30123303,"Schnegg","POINT(958053.976387083 5982633.96870104)","Horgen, Schnegg","pt"
30123325,"Hüttenstrasse","POINT(959235.755233294 5981162.20367048)","Horgen, Hüttenstrasse","pt"
30123369,"Mugern","POINT(961269.417614749 5977664.50734238)","Wädenswil, Mugern","pt"
30123893,"Altendorf, Tevag","POINT(980525.563319711 5974869.59506021)",NULL,"pt"
30126390,"Zürich Wipkingen","POINT(949444.961115146 6006302.88608793)","Zürich Wipkingen","pt"
30127417,"Hetex","POINT(910394.773925708 6007453.70122341)","Niederlenz, Hetex","pt"
30174058,"Rüfenach Dorf","POINT(913404.073720323 6025602.78816231)","Rüfenach AG, Dorf","pt"
30228229,"Glanzenberg","POINT(937353.905567042 6007420.66173082)","Glanzenberg","pt"
